 Shaft Dia ,Keyway Width, Keyway Depth ,
 0.625 ,.190/.188, 0.108 ,
 0.750 ,.190/.188, 0.106 ,
 0.875 ,.190/.188, 0.104 ,
 1.000 ,.252/.250, 0.141 ,
 1.125 ,.252/.250, 0.139 ,
 1.250 ,.252/.250, 0.138 ,
 1.375 ,.314/.312, 0.174 ,
 1.625 ,.377/.375, 0.209 ,
 1.750 ,.377/.375, 0.208 ,
 1.875 ,.502/.500, 0.284 ,
 2.000 ,.502/.500, 0.282 ,
 2.125 ,.502/.500, 0.280 ,
 2.250 ,.502/.500, 0.278 ,
 2.375 ,.627/.625, 0.354 ,
 2.500 ,.627/.625, 0.352 ,
 2.525 ,.627/.625, 0.250 ,
 2.750 ,.627/.625, 0.348 ,
 2.875 ,.752/.750, 0.425 ,
 3.000 ,.752/.750, 0.423 ,
 3.125 ,.752/.750, 0.421 ,
 3.250 ,.752/.750, 0.419 ,
 3.375 ,.878/.875, 0.495 ,
 3.500 ,.878/.875, 0.493 ,
 3.625 ,.878/.875, 0.491 ,
 3.750 ,.878/.875, 0.489 ,
 3.875 ,1.003/1.000, 0.566 ,
 4.000 ,1.003/1.000, 0.564 ,
 4.125 ,1.003/1.000, 0.562 ,
 4.250 ,1.003/1.000, 0.560 ,
 4.375 ,1.003/1.000, 0.558 ,
 4.500 ,1.003/1.000, 0.556 ,
 4.875 ,1.253/1.250, 0.706 ,
 5.000 ,1.253/1.250, 0.704 ,
 5.750 ,1.503/1.500, 0.850 ,
 6.500 ,1.503/1.500, 0.838 ,
